card_id,name,set,rarity,release_date,source,variant,price,avg1,avg7,avg30,date
xy1-57,Gourgeist,XY,Rare Holo,2014/02/05,tcgplayer,reverseHolofoil,3.1,,,,2026-07-28
xy1-57,Gourgeist,XY,Rare Holo,2014/02/05,cardmarket,normal,1.88,0.8,1.66,1.76,2026-07-28
dp2-51,Graveler,Mysterious Treasures,Uncommon,2007/08/01,tcgplayer,normal,0.39,,,,2026-07-28
dp2-51,Graveler,Mysterious Treasures,Uncommon,2007/08/01,tcgplayer,reverseHolofoil,2.59,,,,2026-07-28
dp2-51,Graveler,Mysterious Treasures,Uncommon,2007/08/01,cardmarket,normal,0.14,0.08,0.09,0.14,2026-07-28
pl1-57,Muk,Platinum,Uncommon,2009/02/11,tcgplayer,normal,0.73,,,,2026-07-28
pl1-57,Muk,Platinum,Uncommon,2009/02/11,tcgplayer,reverseHolofoil,4.33,,,,2026-07-28
pl1-57,Muk,Platinum,Uncommon,2009/02/11,cardmarket,normal,0.29,0.2,0.23,0.26,2026-07-28
base2-49,Bellsprout,Jungle,Common,1999/06/16,tcgplayer,1stEdition,3.78,,,,2026-07-28
base2-49,Bellsprout,Jungle,Common,1999/06/16,tcgplayer,unlimited,0.42,,,,2026-07-28
base2-49,Bellsprout,Jungle,Common,1999/06/16,cardmarket,normal,0.5,0.59,0.66,0.47,2026-07-28
ex5-49,Starmie,Hidden Legends,Uncommon,2004/06/01,tcgplayer,normal,0.76,,,,2026-07-28
ex5-49,Starmie,Hidden Legends,Uncommon,2004/06/01,tcgplayer,reverseHolofoil,45.82,,,,2026-07-28
ex5-49,Starmie,Hidden Legends,Uncommon,2004/06/01,cardmarket,normal,0.5,0.38,0.55,0.47,2026-07-28
bw3-52,Reuniclus,Noble Victories,Rare,2011/11/16,tcgplayer,normal,1.04,,,,2026-07-28
bw3-52,Reuniclus,Noble Victories,Rare,2011/11/16,tcgplayer,reverseHolofoil,1.66,,,,2026-07-28
bw3-52,Reuniclus,Noble Victories,Rare,2011/11/16,cardmarket,normal,0.73,0.57,0.56,0.79,2026-07-28
dpp-DP56,Arceus LV.X,DP Black Star Promos,Promo,2007/05/01,tcgplayer,holofoil,69.52,,,,2026-07-28
dp7-49,Scyther,Stormfront,Uncommon,2008/11/01,tcgplayer,normal,1.65,,,,2026-07-28
dp7-49,Scyther,Stormfront,Uncommon,2008/11/01,tcgplayer,reverseHolofoil,10.28,,,,2026-07-28
dp7-49,Scyther,Stormfront,Uncommon,2008/11/01,cardmarket,normal,0.51,0.25,0.43,0.55,2026-07-28
xy5-58,Lanturn,Primal Clash,Uncommon,2015/02/04,tcgplayer,normal,0.22,,,,2026-07-28
xy5-58,Lanturn,Primal Clash,Uncommon,2015/02/04,tcgplayer,reverseHolofoil,0.54,,,,2026-07-28
xy5-58,Lanturn,Primal Clash,Uncommon,2015/02/04,cardmarket,normal,0.18,0.45,0.21,0.18,2026-07-28
ex4-58,Team Magma's Aron,Team Magma vs Team Aqua,Common,2004/03/01,tcgplayer,normal,0.72,,,,2026-07-28
ex4-58,Team Magma's Aron,Team Magma vs Team Aqua,Common,2004/03/01,tcgplayer,reverseHolofoil,21.7,,,,2026-07-28
ex4-58,Team Magma's Aron,Team Magma vs Team Aqua,Common,2004/03/01,cardmarket,normal,0.24,0.15,0.18,0.25,2026-07-28
ecard2-31,Rapidash,Aquapolis,Rare,2003/01/15,tcgplayer,normal,17.64,,,,2026-07-28
ecard2-31,Rapidash,Aquapolis,Rare,2003/01/15,tcgplayer,reverseHolofoil,34.24,,,,2026-07-28
ecard2-31,Rapidash,Aquapolis,Rare,2003/01/15,cardmarket,normal,2.58,3.18,2.91,2.97,2026-07-28
ex16-49,Chinchou,Power Keepers,Common,2007/02/02,tcgplayer,normal,0.36,,,,2026-07-28
ex16-49,Chinchou,Power Keepers,Common,2007/02/02,tcgplayer,reverseHolofoil,9.36,,,,2026-07-28
ex16-49,Chinchou,Power Keepers,Common,2007/02/02,cardmarket,normal,0.19,0.1,0.18,0.16,2026-07-28
ex13-57,Anorith δ,Holon Phantoms,Common,2006/05/01,tcgplayer,normal,0.67,,,,2026-07-28
ex13-57,Anorith δ,Holon Phantoms,Common,2006/05/01,tcgplayer,reverseHolofoil,14.19,,,,2026-07-28
ex13-57,Anorith δ,Holon Phantoms,Common,2006/05/01,cardmarket,normal,0.44,0.05,0.59,0.53,2026-07-28
bw6-55,Gothita,Dragons Exalted,Common,2012/08/15,tcgplayer,normal,0.35,,,,2026-07-28
bw6-55,Gothita,Dragons Exalted,Common,2012/08/15,tcgplayer,reverseHolofoil,3.25,,,,2026-07-28
bw6-55,Gothita,Dragons Exalted,Common,2012/08/15,cardmarket,normal,0.14,0.08,0.11,0.12,2026-07-28
smp-SM48,Zygarde,SM Black Star Promos,Promo,2017/02/03,tcgplayer,holofoil,15.51,,,,2026-07-28
smp-SM48,Zygarde,SM Black Star Promos,Promo,2017/02/03,cardmarket,normal,11.71,29.99,10.48,10.62,2026-07-28
ex10-57,Gligar,Unseen Forces,Common,2005/08/01,tcgplayer,normal,0.39,,,,2026-07-28
ex10-57,Gligar,Unseen Forces,Common,2005/08/01,tcgplayer,reverseHolofoil,17.54,,,,2026-07-28
ex10-57,Gligar,Unseen Forces,Common,2005/08/01,cardmarket,normal,0.73,1.32,0.95,0.55,2026-07-28
xy6-54,Bagon,Roaring Skies,Common,2015/05/06,tcgplayer,normal,0.17,,,,2026-07-28
xy6-54,Bagon,Roaring Skies,Common,2015/05/06,tcgplayer,reverseHolofoil,0.41,,,,2026-07-28
xy6-54,Bagon,Roaring Skies,Common,2015/05/06,cardmarket,normal,0.09,0.13,0.09,0.1,2026-07-28
base6-51,Machoke,Legendary Collection,Uncommon,2002/05/24,tcgplayer,normal,2.45,,,,2026-07-28
base6-51,Machoke,Legendary Collection,Uncommon,2002/05/24,tcgplayer,reverseHolofoil,107.36,,,,2026-07-28
base6-51,Machoke,Legendary Collection,Uncommon,2002/05/24,cardmarket,normal,1.33,4.9,1.58,1.54,2026-07-28
hgss1-63,Exeggcute,HeartGold & SoulSilver,Common,2010/02/10,tcgplayer,normal,0.41,,,,2026-07-28
hgss1-63,Exeggcute,HeartGold & SoulSilver,Common,2010/02/10,tcgplayer,reverseHolofoil,5.6,,,,2026-07-28
hgss1-63,Exeggcute,HeartGold & SoulSilver,Common,2010/02/10,cardmarket,normal,0.21,0.17,0.21,0.15,2026-07-28
bw11-60,Kirlia,Legendary Treasures,Uncommon,2013/11/06,tcgplayer,normal,0.64,,,,2026-07-28
bw11-60,Kirlia,Legendary Treasures,Uncommon,2013/11/06,tcgplayer,reverseHolofoil,4.99,,,,2026-07-28
bw11-60,Kirlia,Legendary Treasures,Uncommon,2013/11/06,cardmarket,normal,0.82,0.4,0.61,0.81,2026-07-28
xyp-XY47,Heliolisk,XY Black Star Promos,Promo,2013/10/12,tcgplayer,holofoil,2.8,,,,2026-07-28
xyp-XY47,Heliolisk,XY Black Star Promos,Promo,2013/10/12,cardmarket,normal,4.76,3.5,4.72,4.27,2026-07-28
sm10-47,Kingler,Unbroken Bonds,Rare,2019/05/03,tcgplayer,reverseHolofoil,0.85,,,,2026-07-28
sm10-47,Kingler,Unbroken Bonds,Rare,2019/05/03,tcgplayer,normal,0.42,,,,2026-07-28
sm10-47,Kingler,Unbroken Bonds,Rare,2019/05/03,cardmarket,normal,0.48,0.5,0.5,0.45,2026-07-28
ex12-61,Seedot,Legend Maker,Common,2006/02/01,tcgplayer,normal,1.72,,,,2026-07-28
ex12-61,Seedot,Legend Maker,Common,2006/02/01,tcgplayer,reverseHolofoil,17.99,,,,2026-07-28
ex12-61,Seedot,Legend Maker,Common,2006/02/01,cardmarket,normal,0.42,0.14,0.51,0.43,2026-07-28
pl3-52,Breloom,Supreme Victors,Uncommon,2009/08/19,tcgplayer,normal,0.93,,,,2026-07-28
pl3-52,Breloom,Supreme Victors,Uncommon,2009/08/19,tcgplayer,reverseHolofoil,6.48,,,,2026-07-28
